racename,riderposition,ridername,riderteam
Paris-Nice,101,CHARMIG Anthon,XDS Astana Team
Paris-Nice,102,BASTIAENS Ayco,Soudal Quick-Step
Paris-Nice,103,LIENHARD Fabian,Tudor Pro Cycling Team
Paris-Nice,104,AFFINI Edoardo,Team Visma | Lease a Bike
Paris-Nice,105,OLIVEIRA Ivo,UAE Team Emirates - XRG
Paris-Nice,106,NICOLAU Joel,Caja Rural - Seguros RGA
Paris-Nice,107,THIERRY Pierre,Arkéa - B&B Hotels
Paris-Nice,108,SCOTSON Miles,Arkéa - B&B Hotels
Paris-Nice,109,GOVEKAR Matevž,Bahrain - Victorious
Paris-Nice,110,MULLEN Ryan,Red Bull - BORA - hansgrohe
Paris-Nice,111,HEPBURN Michael,Team Jayco AlUla
Paris-Nice,112,RIESEBEEK Oscar,Alpecin - Deceuninck
Paris-Nice,113,GRADEK Kamil,Bahrain - Victorious
Paris-Nice,114,FERNÁNDEZ Samuel,Caja Rural - Seguros RGA
Tirreno-Adriatico,1,AYUSO Juan,UAE Team Emirates - XRG
Tirreno-Adriatico,2,GANNA Filippo,INEOS Grenadiers
Tirreno-Adriatico,3,TIBERI Antonio,Bahrain - Victorious
Tirreno-Adriatico,4,GEE Derek,Israel - Premier Tech
Tirreno-Adriatico,5,HINDLEY Jai,Red Bull - BORA - hansgrohe
Tirreno-Adriatico,6,PIDCOCK Thomas,Q36.5 Pro Cycling Team
Tirreno-Adriatico,7,LANDA Mikel,Soudal Quick-Step
Tirreno-Adriatico,8,DE LA CRUZ David,Q36.5 Pro Cycling Team
Tirreno-Adriatico,9,BILBAO Pello,Bahrain - Victorious
Tirreno-Adriatico,10,CATTANEO Mattia,Soudal Quick-Step
Tirreno-Adriatico,11,JOHANNESSEN Tobias Halland,Uno-X Mobility
Tirreno-Adriatico,12,VAUQUELIN Kévin,Arkéa - B&B Hotels
Tirreno-Adriatico,13,CICCONE Giulio,Lidl - Trek
Tirreno-Adriatico,14,YATES Simon,Team Visma | Lease a Bike
Tirreno-Adriatico,15,GRÉGOIRE Romain,Groupama - FDJ
Tirreno-Adriatico,16,YATES Adam,UAE Team Emirates - XRG
Tirreno-Adriatico,17,PIGANZOLI Davide,Team Polti VisitMalta
Tirreno-Adriatico,18,CARAPAZ Richard,EF Education - EasyPost
Tirreno-Adriatico,19,DEL TORO Isaac,UAE Team Emirates - XRG
Tirreno-Adriatico,20,RUBIO Einer,Movistar Team
Tirreno-Adriatico,21,FORTUNATO Lorenzo,XDS Astana Team
Tirreno-Adriatico,22,PINARELLO Alessandro,VF Group - Bardiani CSF - Faizanè
Tirreno-Adriatico,23,HIRSCHI Marc,Tudor Pro Cycling Team
Tirreno-Adriatico,24,HEALY Ben,EF Education - EasyPost
Tirreno-Adriatico,25,ZANA Filippo,Team Jayco AlUla
Tirreno-Adriatico,26,VELASCO Simone,XDS Astana Team
Tirreno-Adriatico,27,KAJAMINI Florian Samuel,XDS Astana Team
Tirreno-Adriatico,28,IZAGIRRE Ion,Cofidis
Tirreno-Adriatico,29,ARANBURU Alex,Cofidis
Tirreno-Adriatico,30,FIORELLI Filippo,VF Group - Bardiani CSF - Faizanè
Tirreno-Adriatico,31,VENDRAME Andrea,Decathlon AG2R La Mondiale Team
Tirreno-Adriatico,32,QUINTANA Nairo,Movistar Team
Tirreno-Adriatico,33,CONCI Nicola,XDS Astana Team
Tirreno-Adriatico,34,HAMILTON Chris,Team Picnic PostNL
Tirreno-Adriatico,35,MADOUAS Valentin,Groupama - FDJ
Tirreno-Adriatico,36,STAUNE-MITTET Johannes,Decathlon AG2R La Mondiale Team
Tirreno-Adriatico,37,PRODHOMME Nicolas,Decathlon AG2R La Mondiale Team
Tirreno-Adriatico,38,PARET-PEINTRE Valentin,Soudal Quick-Step
Tirreno-Adriatico,39,PACHER Quentin,Groupama - FDJ
Tirreno-Adriatico,40,CHAVES Esteban,EF Education - EasyPost
Tirreno-Adriatico,41,RIVERA Brandon Smith,INEOS Grenadiers
Tirreno-Adriatico,42,COVILI Luca,VF Group - Bardiani CSF - Faizanè
Tirreno-Adriatico,43,RUTSCH Jonas,Intermarché - Wanty
Tirreno-Adriatico,44,STUYVEN Jasper,Lidl - Trek
Tirreno-Adriatico,45,DVERSNES Fredrik,Uno-X Mobility
Tirreno-Adriatico,46,DE PLUS Laurens,INEOS Grenadiers
Tirreno-Adriatico,47,RODRÍGUEZ Cristián,Arkéa - B&B Hotels
Tirreno-Adriatico,48,ADRIÀ Roger,Red Bull - BORA - hansgrohe
Tirreno-Adriatico,49,LEEMREIZE Gijs,Team Picnic PostNL
Tirreno-Adriatico,50,VAN DER POEL Mathieu,Alpecin - Deceuninck
Tirreno-Adriatico,51,FORMOLO Davide,Movistar Team
Tirreno-Adriatico,52,AULAR Orluis,Movistar Team
Tirreno-Adriatico,53,DONOVAN Mark,Q36.5 Pro Cycling Team
Tirreno-Adriatico,54,VERMEERSCH Gianni,Alpecin - Deceuninck
Tirreno-Adriatico,55,PLUIMERS Rick,Tudor Pro Cycling Team
Tirreno-Adriatico,56,VALTER Attila,Team Visma | Lease a Bike
Tirreno-Adriatico,57,WILKSCH Hannes,Tudor Pro Cycling Team
Tirreno-Adriatico,58,BUSATTO Francesco,Intermarché - Wanty
Tirreno-Adriatico,59,MAESTRI Mirco,Team Polti VisitMalta
Tirreno-Adriatico,60,GROßSCHARTNER Felix,UAE Team Emirates - XRG
Tirreno-Adriatico,61,TONELLI Alessandro,Team Polti VisitMalta
Tirreno-Adriatico,62,MOSCON Gianni,Red Bull - BORA - hansgrohe
Tirreno-Adriatico,63,TAROZZI Manuele,VF Group - Bardiani CSF - Faizanè
Tirreno-Adriatico,64,SCALCO Matteo,VF Group - Bardiani CSF - Faizanè
Tirreno-Adriatico,65,GERMANI Lorenzo,Groupama - FDJ
Tirreno-Adriatico,66,CARUSO Damiano,Bahrain - Victorious
Tirreno-Adriatico,67,ARCAS Jorge,Movistar Team
Tirreno-Adriatico,68,WARBASSE Larry,Tudor Pro Cycling Team
Tirreno-Adriatico,69,KRUIJSWIJK Steven,Team Visma | Lease a Bike
Tirreno-Adriatico,70,OURSELIN Paul,Cofidis
Tirreno-Adriatico,71,THOMAS Benjamin,Cofidis
Tirreno-Adriatico,72,MAJKA Rafał,UAE Team Emirates - XRG
Tirreno-Adriatico,73,DELAPLACE Anthony,Arkéa - B&B Hotels
Tirreno-Adriatico,74,GLIVAR Gal,Alpecin - Deceuninck
Tirreno-Adriatico,75,SÜTTERLIN Jasha,Team Jayco AlUla
Tirreno-Adriatico,76,FRIGO Marco,Israel - Premier Tech
Tirreno-Adriatico,77,SWIFT Connor,INEOS Grenadiers
Tirreno-Adriatico,78,JOHANNESSEN Anders Halland,Uno-X Mobility
Tirreno-Adriatico,79,STORK Florian,Tudor Pro Cycling Team
Tirreno-Adriatico,80,VENTURINI Clément,Arkéa - B&B Hotels
Tirreno-Adriatico,81,COLLEONI Kevin,Intermarché - Wanty
Tirreno-Adriatico,82,VAN DIJKE Tim,Red Bull - BORA - hansgrohe
Tirreno-Adriatico,83,MACIEJUK Filip,Red Bull - BORA - hansgrohe
Tirreno-Adriatico,84,FUGLSANG Jakob,Israel - Premier Tech
Tirreno-Adriatico,85,VAN UDEN Casper,Team Picnic PostNL
Tirreno-Adriatico,86,DE BONDT Dries,Decathlon AG2R La Mondiale Team
Tirreno-Adriatico,87,TONEATTI Davide,XDS Astana Team
Tirreno-Adriatico,88,VAN BAARLE Dylan,Team Visma | Lease a Bike
Tirreno-Adriatico,89,STANNARD Robert,Bahrain - Victorious
Tirreno-Adriatico,90,PEDERSEN Casper,Soudal Quick-Step
Tirreno-Adriatico,91,MAGNIER Paul,Soudal Quick-Step
Tirreno-Adriatico,92,MUÑOZ Francisco,Team Polti VisitMalta
Tirreno-Adriatico,93,BATTISTELLA Samuele,EF Education - EasyPost
Tirreno-Adriatico,94,KOCH Jonas,Red Bull - BORA - hansgrohe
Tirreno-Adriatico,95,MAAS Jan,Cofidis
Tirreno-Adriatico,96,KOOIJ Olav,Team Visma | Lease a Bike
Tirreno-Adriatico,97,BLUME LEVY William,Uno-X Mobility
Tirreno-Adriatico,98,BONNEU Kamiel,Intermarché - Wanty
Tirreno-Adriatico,99,TESFATSION Natnael,Movistar Team
Tirreno-Adriatico,100,GODON Dorian,Decathlon AG2R La Mondiale Team
Tirreno-Adriatico,101,PENHOËT Paul,Groupama - FDJ
Tirreno-Adriatico,102,LEIJNSE Enzo,Team Picnic PostNL
Tirreno-Adriatico,103,HOLTER Ådne,Uno-X Mobility
Tirreno-Adriatico,104,SKUJIŅŠ Toms,Lidl - Trek
Tirreno-Adriatico,105,RUSSO Clément,Groupama - FDJ
Tirreno-Adriatico,106,LONARDI Giovanni,Team Polti VisitMalta
Tirreno-Adriatico,107,LE BERRE Mathis,Arkéa - B&B Hotels
Tirreno-Adriatico,108,BAIS Davide,Team Polti VisitMalta
Tirreno-Adriatico,109,PIETROBON Andrea,Team Polti VisitMalta
Tirreno-Adriatico,110,CORT Magnus,Uno-X Mobility
Tirreno-Adriatico,111,REINDERINK Pepijn,Soudal Quick-Step
Tirreno-Adriatico,112,GHEBREIGZABHIER Amanuel,Lidl - Trek
Tirreno-Adriatico,113,ZANONCELLO Enrico,VF Group - Bardiani CSF - Faizanè
Tirreno-Adriatico,114,MEURISSE Xandro,Alpecin - Deceuninck
Tirreno-Adriatico,115,GAZE Samuel,Alpecin - Deceuninck
Tirreno-Adriatico,116,HAMILTON Lucas,INEOS Grenadiers
Tirreno-Adriatico,117,ČERNÝ Josef,Soudal Quick-Step
Tirreno-Adriatico,118,STEWART Jake,Israel - Premier Tech
Tirreno-Adriatico,119,HOWSON Damien,Q36.5 Pro Cycling Team
Tirreno-Adriatico,120,MIHOLJEVIĆ Fran,Bahrain - Victorious
Tirreno-Adriatico,121,ZIJLAARD Maikel,Tudor Pro Cycling Team
Tirreno-Adriatico,122,MÄRKL Niklas,Team Picnic PostNL
Tirreno-Adriatico,123,PASQUALON Andrea,Bahrain - Victorious
Tirreno-Adriatico,124,GUDMESTAD Tord,Decathlon AG2R La Mondiale Team
Tirreno-Adriatico,125,GAMPER Patrick,Team Jayco AlUla
Tirreno-Adriatico,126,MEZGEC Luka,Team Jayco AlUla
Tirreno-Adriatico,127,CAPIOT Amaury,Arkéa - B&B Hotels
Tirreno-Adriatico,128,RAISBERG Nadav,Israel - Premier Tech
Tirreno-Adriatico,129,COQUARD Bryan,Cofidis
Tirreno-Adriatico,130,THEUNS Edward,Lidl - Trek
Tirreno-Adriatico,131,MCLAY Daniel,Team Visma | Lease a Bike
Tirreno-Adriatico,132,FERRON Valentin,Cofidis
Tirreno-Adriatico,133,REINDERS Elmar,Team Jayco AlUla
Tirreno-Adriatico,134,KRIEGER Alexander,Tudor Pro Cycling Team
Tirreno-Adriatico,135,MILAN Jonathan,Lidl - Trek
Tirreno-Adriatico,136,BENNETT Sam,Decathlon AG2R La Mondiale Team
Tirreno-Adriatico,137,GROENEWEGEN Dylan,Team Jayco AlUla
Tirreno-Adriatico,138,WÆRENSKJOLD Søren,Uno-X Mobility
Volta Ciclista a Catalunya,1,ROGLIČ Primož,Red Bull - BORA - hansgrohe
Volta Ciclista a Catalunya,2,AYUSO Juan,UAE Team Emirates - XRG
Volta Ciclista a Catalunya,3,MAS Enric,Movistar Team
Volta Ciclista a Catalunya,4,LANDA Mikel,Soudal Quick-Step
Volta Ciclista a Catalunya,5,MARTINEZ Lenny,Bahrain - Victorious
Volta Ciclista a Catalunya,6,DE PLUS Laurens,INEOS Grenadiers
Volta Ciclista a Catalunya,7,BERNAL Egan,INEOS Grenadiers
Volta Ciclista a Catalunya,8,VAN EETVELT Lennert,Lotto
Volta Ciclista a Catalunya,9,YATES Simon,Team Visma | Lease a Bike
Volta Ciclista a Catalunya,10,CARAPAZ Richard,EF Education - EasyPost
Volta Ciclista a Catalunya,11,RICCITELLO Matthew,Israel - Premier Tech
Volta Ciclista a Catalunya,12,O'CONNOR Ben,Team Jayco AlUla
Volta Ciclista a Catalunya,13,LÓPEZ Harold Martín,XDS Astana Team
Volta Ciclista a Catalunya,14,LECERF Junior,Soudal Quick-Step
Volta Ciclista a Catalunya,15,LÓPEZ Juan Pedro,Lidl - Trek
Volta Ciclista a Catalunya,16,PELLIZZARI Giulio,Red Bull - BORA - hansgrohe
Volta Ciclista a Catalunya,17,DÍAZ José Manuel,Burgos Burpellet BH
Volta Ciclista a Catalunya,18,POELS Wout,XDS Astana Team
Volta Ciclista a Catalunya,19,QUINTANA Nairo,Movistar Team
Volta Ciclista a Catalunya,20,FORTUNATO Lorenzo,XDS Astana Team
Volta Ciclista a Catalunya,21,KELDERMAN Wilco,Team Visma | Lease a Bike
Volta Ciclista a Catalunya,22,BUCHMANN Emanuel,Cofidis
Volta Ciclista a Catalunya,23,KUSS Sepp,Team Visma | Lease a Bike
Volta Ciclista a Catalunya,24,RODRÍGUEZ Cristián,Arkéa - B&B Hotels
Volta Ciclista a Catalunya,25,BENNETT George,Israel - Premier Tech
Volta Ciclista a Catalunya,26,SOLER Marc,UAE Team Emirates - XRG
Volta Ciclista a Catalunya,27,GARCÍA PIERNA Carlos,Burgos Burpellet BH
Volta Ciclista a Catalunya,28,TORRES Pablo,UAE Team Emirates - XRG
Volta Ciclista a Catalunya,29,APARICIO Mario,Burgos Burpellet BH
Volta Ciclista a Catalunya,30,CHAVES Esteban,EF Education - EasyPost
Volta Ciclista a Catalunya,31,GUARDEÑO Jaume,Caja Rural - Seguros RGA
Volta Ciclista a Catalunya,32,YATES Adam,UAE Team Emirates - XRG
Volta Ciclista a Catalunya,33,RIES Michel,Arkéa - B&B Hotels
Volta Ciclista a Catalunya,34,ROLLAND Brieuc,Groupama - FDJ
Volta Ciclista a Catalunya,35,SVESTAD-BÅRDSENG Embret,Arkéa - B&B Hotels
Volta Ciclista a Catalunya,36,ALEOTTI Giovanni,Red Bull - BORA - hansgrohe
Volta Ciclista a Catalunya,37,FAGÚNDEZ Eric Antonio,Burgos Burpellet BH
Volta Ciclista a Catalunya,38,CHUMIL Sergio Geovani,Burgos Burpellet BH
Volta Ciclista a Catalunya,39,BRAZ AFONSO Clément,Groupama - FDJ
Volta Ciclista a Catalunya,40,MEINTJES Louis,Intermarché - Wanty
Volta Ciclista a Catalunya,41,THOMPSON Reuben,Lotto
Volta Ciclista a Catalunya,42,OOMEN Sam,Lidl - Trek
Volta Ciclista a Catalunya,43,SOSA Iván Ramiro,Equipo Kern Pharma
Volta Ciclista a Catalunya,44,GAROFOLI Gianmarco,Soudal Quick-Step
Volta Ciclista a Catalunya,45,THOMAS Geraint,INEOS Grenadiers
Volta Ciclista a Catalunya,46,BOUCHARD Geoffrey,Decathlon AG2R La Mondiale Team
Volta Ciclista a Catalunya,47,VERONA Carlos,Lidl - Trek
Volta Ciclista a Catalunya,48,GERMANI Lorenzo,Groupama - FDJ
Volta Ciclista a Catalunya,49,STRONG Corbin,Israel - Premier Tech
Volta Ciclista a Catalunya,50,KNOX James,Soudal Quick-Step
Volta Ciclista a Catalunya,51,SEPÚLVEDA Eduardo,Lotto
Volta Ciclista a Catalunya,52,VAN BEKKUM Darren,XDS Astana Team
Volta Ciclista a Catalunya,53,BERTHET Clément,Decathlon AG2R La Mondiale Team
Volta Ciclista a Catalunya,54,GODON Dorian,Decathlon AG2R La Mondiale Team
Volta Ciclista a Catalunya,55,STEINHAUSER Georg,EF Education - EasyPost
Volta Ciclista a Catalunya,56,STAUNE-MITTET Johannes,Decathlon AG2R La Mondiale Team
Volta Ciclista a Catalunya,57,GHEBREIGZABHIER Amanuel,Lidl - Trek
Volta Ciclista a Catalunya,58,COBO Iván,Equipo Kern Pharma
Volta Ciclista a Catalunya,59,MIQUEL Pau,Equipo Kern Pharma
Volta Ciclista a Catalunya,60,HUISING Menno,Team Visma | Lease a Bike
Volta Ciclista a Catalunya,61,EULÁLIO Afonso,Bahrain - Victorious
Volta Ciclista a Catalunya,62,BIZKARRA Mikel,Euskaltel - Euskadi
Volta Ciclista a Catalunya,63,PARRA José Félix,Equipo Kern Pharma
Volta Ciclista a Catalunya,64,KÄMNA Lennard,Lidl - Trek
Volta Ciclista a Catalunya,65,ARMIRAIL Bruno,Decathlon AG2R La Mondiale Team
Volta Ciclista a Catalunya,66,SMITH Dion,Intermarché - Wanty
Volta Ciclista a Catalunya,67,SIMMONS Quinn,Lidl - Trek
Volta Ciclista a Catalunya,68,WANDAHL Frederik,Red Bull - BORA - hansgrohe
Volta Ciclista a Catalunya,69,HELLEMOSE Asbjørn,Team Jayco AlUla
Volta Ciclista a Catalunya,70,MÜHLBERGER Gregor,Movistar Team
Volta Ciclista a Catalunya,71,BURNETT Josh,Burgos Burpellet BH
Volta Ciclista a Catalunya,72,HERRADA Jesús,Cofidis
Volta Ciclista a Catalunya,73,VENDRAME Andrea,Decathlon AG2R La Mondiale Team
Volta Ciclista a Catalunya,74,MOLARD Rudy,Groupama - FDJ
Volta Ciclista a Catalunya,75,PEDRERO Antonio,Movistar Team
Volta Ciclista a Catalunya,76,CURRIE Logan,Lotto
Volta Ciclista a Catalunya,77,VAN DEN BROEK Frank,Team Picnic PostNL
Volta Ciclista a Catalunya,78,BERRADE Urko,Equipo Kern Pharma
Volta Ciclista a Catalunya,79,PALENI Enzo,Groupama - FDJ
Volta Ciclista a Catalunya,80,SERRY Pieter,Soudal Quick-Step
Volta Ciclista a Catalunya,81,MOLENAAR Alex,Caja Rural - Seguros RGA
Volta Ciclista a Catalunya,82,SHAW James,EF Education - EasyPost
Volta Ciclista a Catalunya,83,LAURANCE Axel,INEOS Grenadiers
Volta Ciclista a Catalunya,84,FRAILE Omar,INEOS Grenadiers
Volta Ciclista a Catalunya,85,HAJEK Alexander,Red Bull - BORA - hansgrohe
Volta Ciclista a Catalunya,86,PLANCKAERT Edward,Alpecin - Deceuninck
Volta Ciclista a Catalunya,87,RAFFERTY Darren,EF Education - EasyPost
Volta Ciclista a Catalunya,88,MULUBRHAN Henok,XDS Astana Team
Volta Ciclista a Catalunya,89,HESSMANN Michel,Movistar Team
Volta Ciclista a Catalunya,90,TRATNIK Jan,Red Bull - BORA - hansgrohe
Volta Ciclista a Catalunya,91,FAURE PROST Alexy,Intermarché - Wanty
Volta Ciclista a Catalunya,92,VERNON Ethan,Israel - Premier Tech
Volta Ciclista a Catalunya,93,BITTNER Pavel,Team Picnic PostNL
Volta Ciclista a Catalunya,94,JUUL-JENSEN Christopher,Team Jayco AlUla
Volta Ciclista a Catalunya,95,WENZEL Mats,Equipo Kern Pharma
Volta Ciclista a Catalunya,96,BOUWMAN Koen,Team Jayco AlUla
Volta Ciclista a Catalunya,97,ALUSTIZA Nicolás,Euskaltel - Euskadi
Volta Ciclista a Catalunya,98,COLLEONI Kevin,Intermarché - Wanty
Volta Ciclista a Catalunya,99,GUERNALEC Victor,Arkéa - B&B Hotels
Volta Ciclista a Catalunya,100,SCHULTZ Nick,Israel - Premier Tech
Volta Ciclista a Catalunya,101,BALDERSTONE Abel,Caja Rural - Seguros RGA
Volta Ciclista a Catalunya,102,MIHOLJEVIĆ Fran,Bahrain - Victorious
Volta Ciclista a Catalunya,103,LEONARD Michael,INEOS Grenadiers
Volta Ciclista a Catalunya,104,HAYTER Ethan,Soudal Quick-Step
Volta Ciclista a Catalunya,105,HAMILTON Lucas,INEOS Grenadiers
Volta Ciclista a Catalunya,106,DENZ Nico,Red Bull - BORA - hansgrohe
Volta Ciclista a Catalunya,107,FOLDAGER Anders,Team Jayco AlUla
Volta Ciclista a Catalunya,108,MONIQUET Sylvain,Cofidis
Volta Ciclista a Catalunya,109,ROULAND Louis,Arkéa - B&B Hotels
Volta Ciclista a Catalunya,110,DE MARCHI Alessandro,Team Jayco AlUla
Volta Ciclista a Catalunya,111,JOHNSTON Calum,Caja Rural - Seguros RGA
Volta Ciclista a Catalunya,112,COMBAUD Romain,Team Picnic PostNL
Volta Ciclista a Catalunya,113,GREGAARD Jonas,Lotto
Volta Ciclista a Catalunya,114,DINA Márton,Euskaltel - Euskadi
Volta Ciclista a Catalunya,115,URIARTE Diego,Equipo Kern Pharma
Volta Ciclista a Catalunya,116,JOHANSEN Julius,UAE Team Emirates - XRG
Volta Ciclista a Catalunya,117,VAN DER TUUK Danny,Euskaltel - Euskadi
Volta Ciclista a Catalunya,118,DONNENWIRTH Tom,Groupama - FDJ
Volta Ciclista a Catalunya,119,DHONDT Robbe,Team Picnic PostNL
Volta Ciclista a Catalunya,120,TOUMIRE Hugo,Cofidis
Volta Ciclista a Catalunya,121,CASTELLON Jan,Caja Rural - Seguros RGA
Volta Ciclista a Catalunya,122,MURGUIALDAY Jokin,Euskaltel - Euskadi
Itzulia Basque Country,1,ALMEIDA João,UAE Team Emirates - XRG
Itzulia Basque Country,2,MAS Enric,Movistar Team
Itzulia Basque Country,3,SCHACHMANN Maximilian,Soudal Quick-Step
Itzulia Basque Country,4,LIPOWITZ Florian,Red Bull - BORA - hansgrohe
Itzulia Basque Country,5,SKJELMOSE Mattias,Lidl - Trek
Itzulia Basque Country,6,VAN WILDER Ilan,Soudal Quick-Step
Itzulia Basque Country,7,ARANBURU Alex,Cofidis
Itzulia Basque Country,8,VELASCO Simone,XDS Astana Team
Itzulia Basque Country,9,ONLEY Oscar,Team Picnic PostNL
Itzulia Basque Country,10,CHAMPOUSSIN Clément,XDS Astana Team
Itzulia Basque Country,11,BERTHET Clément,Decathlon AG2R La Mondiale Team
Itzulia Basque Country,12,MARTIN Guillaume,Groupama - FDJ
Itzulia Basque Country,13,BUITRAGO Santiago,Bahrain - Victorious
Itzulia Basque Country,14,JEGAT Jordan,Team TotalEnergies
Itzulia Basque Country,15,DEL TORO Isaac,UAE Team Emirates - XRG
Itzulia Basque Country,16,VERGALLITO Luca,Alpecin - Deceuninck
Itzulia Basque Country,17,KELDERMAN Wilco,Team Visma | Lease a Bike
Itzulia Basque Country,18,CRAS Steff,Team TotalEnergies
Itzulia Basque Country,19,COBO Iván,Equipo Kern Pharma
Itzulia Basque Country,20,LAURANCE Axel,INEOS Grenadiers
Itzulia Basque Country,21,TEJADA Harold,XDS Astana Team
Itzulia Basque Country,22,ROLLAND Brieuc,Groupama - FDJ
Itzulia Basque Country,23,IRIBAR Unai,Equipo Kern Pharma
Itzulia Basque Country,24,GRÉGOIRE Romain,Groupama - FDJ
Itzulia Basque Country,25,BISIAUX Léo,Decathlon AG2R La Mondiale Team
Itzulia Basque Country,26,DÍAZ José Manuel,Burgos Burpellet BH
Itzulia Basque Country,27,VALTER Attila,Team Visma | Lease a Bike
Itzulia Basque Country,28,BARGUIL Warren,Team Picnic PostNL
Itzulia Basque Country,29,VOISARD Yannis,Tudor Pro Cycling Team
Itzulia Basque Country,30,HEALY Ben,EF Education - EasyPost
Itzulia Basque Country,31,GAROFOLI Gianmarco,Soudal Quick-Step
Itzulia Basque Country,32,SILVA Guillermo Thomas,Caja Rural - Seguros RGA
Itzulia Basque Country,33,OLIVEIRA Nelson,Movistar Team
Itzulia Basque Country,34,HAIG Jack,Bahrain - Victorious
Itzulia Basque Country,35,NICOLAU Joel,Caja Rural - Seguros RGA
Itzulia Basque Country,36,BAGIOLI Andrea,Lidl - Trek
Itzulia Basque Country,37,NYS Thibau,Lidl - Trek
Itzulia Basque Country,38,MARTÍN Gotzon,Euskaltel - Euskadi
